,Unnamed: 0,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,entities,sentiment_prediction
0,0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,0,"[{""word"": ""."", ""entity"": ""B-person""}, {""word"": ""@"", ""entity"": ""I-person""}, {""word"": ""w"", ""entity"": ""I-person""}, {""word"": ""esley"", ""entity"": ""I-person""}, {""word"": ""83"", ""entity"": ""I-person""}, {""word"": ""\u01203"", ""entity"": ""B-product""}, {""word"": ""G"", ""entity"": ""I-product""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""\u0120#"", ""entity"": ""B-location""}, {""word"": ""ISE"", ""entity"": ""I-location""}, {""word"": ""_"", ""entity"": ""I-location""}, {""word"": ""Austin"", ""entity"": ""I-location""}, {""word"": ""\u0120#"", ""entity"": ""B-location""}, {""word"": ""S"", ""entity"": ""I-location""}, {""word"": ""X"", ""entity"": ""I-location""}, {""word"": ""SW"", ""entity"": ""I-location""}]",1
1,1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,2,"[{""word"": ""@"", ""entity"": ""B-person""}, {""word"": ""j"", ""entity"": ""I-person""}, {""word"": ""essed"", ""entity"": ""I-person""}, {""word"": ""ee"", ""entity"": ""I-person""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""fl"", ""entity"": ""I-corporation""}, {""word"": ""ud"", ""entity"": ""I-corporation""}, {""word"": ""app"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""iPhone"", ""entity"": ""B-product""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2,2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,2,"[{""word"": ""@"", ""entity"": ""B-person""}, {""word"": ""sw"", ""entity"": ""I-person""}, {""word"": ""onder"", ""entity"": ""I-person""}, {""word"": ""lin"", ""entity"": ""I-person""}, {""word"": ""\u0120#"", ""entity"": ""B-product""}, {""word"": ""i"", ""entity"": ""B-product""}, {""word"": ""Pad"", ""entity"": ""I-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
3,3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,0,"[{""word"": ""\u0120festival"", ""entity"": ""B-event""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",1
4,4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,2,"[{""word"": ""xt"", ""entity"": ""I-event""}, {""word"": ""x"", ""entity"": ""I-event""}, {""word"": ""state"", ""entity"": ""I-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120Mar"", ""entity"": ""B-person""}, {""word"": ""issa"", ""entity"": ""I-person""}, {""word"": ""\u0120Mayer"", ""entity"": ""I-person""}, {""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Tim"", ""entity"": ""B-person""}, {""word"": ""\u0120O"", ""entity"": ""I-person""}, {""word"": ""'"", ""entity"": ""I-person""}, {""word"": ""Reilly"", ""entity"": ""I-person""}, {""word"": ""\u0120Matt"", ""entity"": ""B-person""}, {""word"": ""\u0120Mull"", ""entity"": ""I-person""}, {""word"": ""en"", ""entity"": ""I-person""}, {""word"": ""we"", ""entity"": ""I-person""}, {""word"": ""g"", ""entity"": ""I-person""}, {""word"": ""Word"", ""entity"": ""B-corporation""}, {""word"": ""press"", ""entity"": ""I-corporation""}]",2
7,7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,2,"[{""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""CT"", ""entity"": ""B-event""}, {""word"": ""IA"", ""entity"": ""I-event""}, {""word"": ""google"", ""entity"": ""B-corporation""}, {""word"": ""io"", ""entity"": ""I-corporation""}]",2
8,8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,2,"[{""word"": ""the"", ""entity"": ""I-corporation""}, {""word"": ""next"", ""entity"": ""I-corporation""}, {""word"": ""web"", ""entity"": ""I-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-product""}, {""word"": ""oller"", ""entity"": ""I-product""}, {""word"": ""gram"", ""entity"": ""I-product""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120app"", ""entity"": ""I-product""}]",2
9,9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,2,"[{""word"": ""\u0120Canadian"", ""entity"": ""B-location""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}]",2
10,10,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,2,"[{""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""s"", ""entity"": ""I-corporation""}, {""word"": ""amsung"", ""entity"": ""I-corporation""}, {""word"": ""mobile"", ""entity"": ""I-corporation""}, {""word"": ""us"", ""entity"": ""I-corporation""}, {""word"": ""s"", ""entity"": ""I-location""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}, {""word"": ""\u0120Sprint"", ""entity"": ""B-product""}, {""word"": ""\u0120Galaxy"", ""entity"": ""I-product""}, {""word"": ""\u0120S"", ""entity"": ""I-product""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""."", ""entity"": ""I-product""}, {""word"": ""1"", ""entity"": ""I-product""}]",2
11,11,Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,2,"[{""word"": ""\u0120#"", ""entity"": ""B-location""}, {""word"": ""S"", ""entity"": ""I-location""}, {""word"": ""X"", ""entity"": ""I-location""}, {""word"": ""SW"", ""entity"": ""I-location""}, {""word"": ""\u0120@"", ""entity"": ""B-event""}, {""word"": ""Hur"", ""entity"": ""I-event""}, {""word"": ""ricane"", ""entity"": ""I-event""}, {""word"": ""Party"", ""entity"": ""I-event""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}]",2
12,12,"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,2,"[{""word"": ""F"", ""entity"": ""B-corporation""}, {""word"": ""ours"", ""entity"": ""I-corporation""}, {""word"": ""qu"", ""entity"": ""I-corporation""}, {""word"": ""are"", ""entity"": ""I-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""G"", ""entity"": ""I-product""}, {""word"": ""ow"", ""entity"": ""I-product""}, {""word"": ""alla"", ""entity"": ""I-product""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}]",2
13,13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120Google"", ""entity"": ""B-product""}, {""word"": ""\u0120Calendar"", ""entity"": ""I-product""}, {""word"": ""ham"", ""entity"": ""I-person""}, {""word"": ""sand"", ""entity"": ""I-person""}, {""word"": ""wich"", ""entity"": ""I-person""}, {""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""isch"", ""entity"": ""I-person""}, {""word"": ""afer"", ""entity"": ""I-person""}]",2
14,14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,2,"[{""word"": ""x"", ""entity"": ""I-product""}, {""word"": ""sw"", ""entity"": ""I-product""}, {""word"": ""\u0120ip"", ""entity"": ""I-product""}, {""word"": ""ad"", ""entity"": ""I-product""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""made"", ""entity"": ""I-corporation""}, {""word"": ""by"", ""entity"": ""I-corporation""}, {""word"": ""many"", ""entity"": ""I-corporation""}]",2
15,15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""made"", ""entity"": ""I-corporation""}, {""word"": ""by"", ""entity"": ""I-corporation""}, {""word"": ""many"", ""entity"": ""I-corporation""}]",2
